language_code,average_pseudo_perplexity
am,302.9554726204184
uz,284.5882481782326
su,359.0986642632136
cy,416.3141081209629
mr,160.4713675380535
te,111.29715432883772
ku,430.2417962776737
mk,386.9511460443208
bn,162.93415653611348
ka,107.39309940717337
sk,289.42381722581143
el,120.1590973407623
th,90.52394568004999
az,262.0791385428745
lv,554.0568094368939
sl,209.52606908854906
he,225.55739930550587
ro,326.67751413979846
da,373.56314171585456
ur,319.64642153808654
si,233.4697699887251
yo,222.05928930970552
sw,500.9366035558931
ug,508.2360708803557
bo,262.0977017057585
mt,404.08717147955343
jv,370.1565698989082
ne,265.44840417492094
ms,526.5771018580003
bg,151.11640883206712
