Lang,language_code,CN_sents,CN_mb,Glot_docs,Glot_mb,language,class
Slovenian,sl,85882,2.98,9301902,1007.91,slv_Latn,3
Slovak,sk,22460,0.81,9294165,1006.96,slk_Latn,3
Danish,da,66109,2.27,8743767,1006.91,dan_Latn,3
Romanian,ro,70236,2.47,8657002,1002.36,ron_Latn,3
Latvian,lv,66408,2.4,8301651,988.21,lvs_Latn,3
Indonesian,ms,175246,6.21,8024827,1022.01,zsm_Latn,3
Azerbaijani,az,15149,0.57,6179152,1016.68,azj_Latn,1
Hebrew,he,41444,1.62,5287428,991.82,heb_Hebr,3
Bulgarian,bg,162181,8.02,5192702,1014.73,bul_Cyrl,3
Macedonian,mk,38116,1.54,5037552,1005.62,mkd_Cyrl,1
Greek,el,89016,4.17,4789519,980.94,ell_Grek,3
Urdu,ur,13315,0.51,4220566,1009.42,urd_Arab,3
Uzbek,uz,4362,0.16,4018172,481.49,uzn_Latn,3
Georgian,ka,35331,1.89,3463631,1014.24,kat_Geor,3
Welsh,cy,18313,0.61,3174686,360.24,cym_Latn,1
Telugu,te,33476,1.72,3162535,1005.55,tel_Telu,1
Bengali,bn,8782,0.46,2940197,993.44,ben_Beng,3
Nepali,ne,4456,0.21,2569572,1012.63,npi_Deva,1
Swahili,sw,12380,0.39,2450753,323.27,swh_Latn,2
Thai,th,123859,6.95,2391253,977.68,tha_Thai,3
Sinhala,si,1782,0.1,1655641,586.21,sin_Sinh,0
Maltese,mt,3895,0.14,1389527,182.17,mlt_Latn,2
Uyghur,ug,1715,0.06,976010,233.61,uig_Arab,1
Amharic,am,1814,0.07,667881,203.65,amh_Ethi,2
Marathi,mr,7232,0.37,402575,157.3,mar_Deva,2
Kurdish,ku,12246,0.44,376260,134.7,ckb_Arab,0
Javanese,jv,3448,0.13,367795,43.56,jav_Latn,1
Sundanese,su,1880,0.07,323610,43.55,sun_Latn,1
Tibetan,bo,4768,0.21,288847,165.31,bod_Tibt,1
Yoruba,yo,1044,0.05,278003,34.51,yor_Latn,2
