Language,Documents,Size (GB)
he,333874,2.7282018018886447
el,226834,1.846776869148016
bg,294275,1.5047178445383906
th,159719,1.291245248168707
ro,442389,1.2240820713341236
bn,143069,1.216782477684319
te,87854,0.8805409641936421
ka,169602,0.8753134170547128
mk,139559,0.859320011921227
da,295347,0.8146804310381413
sl,183006,0.6727087115868926
az,196158,0.6181441200897098
sk,242235,0.6112438710406423
ms,368628,0.5899943634867668
uz,246729,0.5657220501452684
ur,200154,0.5384345762431622
cy,279455,0.3893815344199538
lv,123413,0.3324927194043994
mr,94133,0.3202541274949908
si,23065,0.1797783840447664
bo,12881,0.1597922891378402
ne,32885,0.1365144914016127
jv,73380,0.1021091099828481
sw,78587,0.1015658266842365
su,61555,0.0632116431370377
ku,63076,0.0628282912075519
ug,8634,0.0558756468817591
mt,5743,0.0472144782543182
am,13906,0.0325385751202702
yo,33819,0.0260238284245133
